"phenotype_id","target_table","category","field_or_phenotype","data_type","allowed_values_or_format","unit","description","examples_observed_in_reports","extraction_notes"
"lymphocytes_percent","lab_results","cbc_differential","lymphocytes_percent","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","%","Lymphocytes percent.","CBC differential",""
"lymphocytes_absolute","lab_results","cbc_differential","lymphocytes_absolute","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","/uL","Absolute lymphocytes.","CBC differential",""
"monocytes_percent","lab_results","cbc_differential","monocytes_percent","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","%","Monocytes percent.","CBC differential",""
"monocytes_absolute","lab_results","cbc_differential","monocytes_absolute","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","/uL","Absolute monocytes.","CBC differential",""
"eosinophils_percent","lab_results","cbc_differential","eosinophils_percent","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","%","Eosinophils percent.","CBC differential","Allergy/GI context."
"eosinophils_absolute","lab_results","cbc_differential","eosinophils_absolute","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","/uL","Absolute eosinophils.","CBC differential",""
"basophils_percent","lab_results","cbc_differential","basophils_percent","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","%","Basophils percent.","CBC differential",""
"basophils_absolute","lab_results","cbc_differential","basophils_absolute","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","/uL","Absolute basophils.","CBC differential",""
"reticulocyte_percent","lab_results","cbc","reticulocyte_percent","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","%","Reticulocyte percent.","sample reports reference lab panels",""
"reticulocyte_absolute","lab_results","cbc","reticulocyte_absolute","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","K/uL","Absolute reticulocyte count.","sample reports retic high",""
"reticulocyte_hgb","lab_results","cbc","reticulocyte_hgb","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","pg","Reticulocyte hemoglobin.","sample report reference lab CBC",""
"rbc_morphology","lab_results","cbc_morphology","rbc_morphology","lab_result","text","","RBC morphology.","poikilocytosis; crenation; normal","Text value."
"wbc_morphology","lab_results","cbc_morphology","wbc_morphology","lab_result","text","","WBC morphology.","reactive lymphocytes; normal","Text value."
"hemoparasites","lab_results","cbc_morphology","hemoparasites","lab_result","seen|none_seen|not_reported","","Hemoparasites or blood parasites.","None Seen","Text/enum."
"total_t4","lab_results","endocrine","total_t4","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","ug/dL","Total T4.","sample reports; AVIE; sample report","Thyroid context."
"free_t4","lab_results","endocrine","free_t4","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","pmol/L or ng/dL","Free T4.","sample report Free T4 dialysis","Thyroid context."
"tsh","lab_results","endocrine","tsh","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","ng/mL","TSH.","sample report TSH","Thyroid context."
"baseline_cortisol","lab_results","endocrine","baseline_cortisol","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","ug/dL","Baseline cortisol/Addison screen.","sample report baseline cortisol","Use with Addison rule-out."
"progesterone","lab_results","reproductive","progesterone","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","ng/mL","Progesterone.","sample report PROG values","Reproductive tracking."
"cobalamin_b12","lab_results","gi_nutrition","cobalamin_b12","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","","Cobalamin/B12.","sample report GI panel discussions","Include when found."
"folate","lab_results","gi_nutrition","folate","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","","Folate.","sample report GI panel discussions","Include when found."
"tli","lab_results","gi_nutrition","tli","lab_result","value|unit|reference_low|reference_high|flag|specimen|collection_date|source_panel|evidence","","Trypsin-like immunoreactivity.","sample reports EPI workup context","Include when found."
"urine_collection_method","lab_results","urinalysis","urine_collection_method","lab_result","free_catch|cystocentesis|catheter|unknown","","Urine collection method.","cystocentesis; catheter; urine sample","Specimen metadata."
"urine_color","lab_results","urinalysis","urine_color","lab_result","text","","Urine color.","Yellow","UA metadata."
"urine_clarity_transparency","lab_results","urinalysis","urine_clarity_transparency","lab_result","text","","Urine clarity/transparency.","slightly hazy","UA metadata."
"urine_specific_gravity","lab_results","urinalysis","urine_specific_gravity","lab_result","value|reference_low|reference_high|flag|evidence","","Urine specific gravity.","1.048; 1.076 high","Renal/urine concentration."
"urine_ph","lab_results","urinalysis","urine_ph","lab_result","value|reference_low|reference_high|flag|evidence","","Urine pH.","6.5; 7.5","Separate from blood gas pH."
"urine_protein","lab_results","urinalysis","urine_protein","lab_result","negative|trace|1+|2+|3+|4+|numeric","","Urine protein.","negative; 1+; 3+; 2000/++++","Use proteinuria phenotype if abnormal."
"urine_glucose","lab_results","urinalysis","urine_glucose","lab_result","negative|positive|trace|numeric","","Urine glucose.","Negative","Different from blood glucose."
"urine_ketones","lab_results","urinalysis","urine_ketones","lab_result","negative|positive|trace|numeric","","Urine ketones.","Negative; trace ketones",""
"urine_bilirubin","lab_results","urinalysis","urine_bilirubin","lab_result","negative|1+|2+|3+|numeric","","Urine bilirubin.","Negative; 1+",""
"urine_blood_hgb","lab_results","urinalysis","urine_blood_hgb","lab_result","negative|positive|trace|numeric","","Urine blood/HGB.","Negative; small",""
"urine_wbc_hpf","lab_results","urinalysis","urine_wbc_hpf","lab_result","value|range|flag","/HPF","Urine WBC.","0-5; 21-50",""
"urine_rbc_hpf","lab_results","urinalysis","urine_rbc_hpf","lab_result","value|range|flag","/HPF","Urine RBC.","rare; 4-10; none",""
"urine_epithelial_cells","lab_results","urinalysis","urine_epithelial_cells","lab_result","value|range|type","/HPF","Squamous/transitional/renal epithelial cells.","squamous 0-5; transitional 2-3",""
"urine_casts","lab_results","urinalysis","urine_casts","lab_result","value|type","/LPF","Urine casts.","none seen; granular few",""
"urine_crystals","lab_results","urinalysis","urine_crystals","lab_result","text","","Urine crystals.","calcium oxalate dihydrate; bilirubin crystals; none observed","Use crystalluria phenotype if abnormal."
"urine_bacteria","lab_results","urinalysis","urine_bacteria","lab_result","value|range|flag","/HPF","Urine bacteria.","rare; none seen","Use culture for organism."
"urine_fat_droplets","lab_results","urinalysis","urine_fat_droplets","lab_result","value|range","/HPF","Urine fat droplets.","few; many; 4-10",""
"urine_protein_creatinine_ratio","lab_results","urinalysis","urine_protein_creatinine_ratio","lab_result","value|reference|flag","ratio","UPC ratio.","sample report UPC 1.0","Use proteinuria phenotype if abnormal."
"urine_culture_organism","lab_results","microbiology","urine_culture_organism","lab_result","text","","Urine culture organism.","Escherichia coli; Pseudomonas aeruginosa; pending","Use susceptibility rows/details."
"urine_culture_susceptibility","lab_results","microbiology","urine_culture_susceptibility","lab_result","text","","Antibiotic susceptibility/resistance.","U-sample report culture reports","Can be separate normalized table later."
"prothrombin_time_pt","lab_results","coagulation","prothrombin_time_pt","lab_result","value|unit|reference_low|reference_high|flag|evidence","seconds","PT/prothrombin time.","sample report pre-op; sample report PT; sample report coag profile","Coag context."
"partial_thromboplastin_time_ptt_aptt","lab_results","coagulation","partial_thromboplastin_time_ptt_aptt","lab_result","value|unit|reference_low|reference_high|flag|evidence","seconds","PTT/aPTT.","sample report PTT; sample report coag profile","Coag context."
"heartworm_antigen_test","diagnostic_events","infectious_parasite_test","heartworm_antigen_test","diagnostic_event","positive|negative|pending|not_reported","","Heartworm antigen test.","sample reports; AVIE; sample report; sample report negative tests","Diagnostic event, not necessarily disease."
"four_dx_vector_borne_panel","diagnostic_events","infectious_parasite_test","four_dx_vector_borne_panel","diagnostic_event","positive|negative|mixed|pending|not_reported","","Heartworm/Ehrlichia/Lyme/Anaplasma SNAP or 4DX.","sample report 4DX neg; sample report SNAP4Dx negative","Store component if available."
"ova_and_parasite_fecal_float","diagnostic_events","infectious_parasite_test","ova_and_parasite_fecal_float","diagnostic_event","positive|negative|pending|not_reported","","Ova/parasite/fecal float.","sample report; AVIE; puppy reports; sample report fecal negative","Diagnostic event."
"giardia_elisa","diagnostic_events","infectious_parasite_test","giardia_elisa","diagnostic_event","positive|negative|pending|not_reported","","Giardia ELISA.","AVIE and puppy reports negative; sample report Giardia history","Diagnostic event."
"fecal_analysis","diagnostic_events","infectious_gi_test","fecal_analysis","diagnostic_event","text","","General fecal analysis.","Fecal analysis sections","Use specific tests when possible."
"cocci_valley_fever_titer","diagnostic_events","infectious_respiratory_test","cocci_valley_fever_titer","diagnostic_event","numeric_or_text","","Coccidioides/Valley Fever titer or panel.","sample report Valley Fever study and cocci panel","Store value if present."
"brucella_canis_test","diagnostic_events","infectious_test","brucella_canis_test","diagnostic_event","positive|negative|pending|not_reported","","Brucella canis test.","sample report discospondylitis workup",""
"aspergillus_test","diagnostic_events","infectious_test","aspergillus_test","diagnostic_event","positive|negative|pending|not_reported","","Aspergillus testing.","sample report discospondylitis workup",""
"blood_culture","diagnostic_events","microbiology","blood_culture","diagnostic_event","positive|negative|pending|not_reported","","Blood culture.","sample report active discospondylitis workup",""
"urine_culture","diagnostic_events","microbiology","urine_culture","diagnostic_event","positive|negative|pending|not_reported","","Urine culture.","U-sample report; sample report pending urine culture","Organism in lab_results."
"radiographs_xray","diagnostic_events","imaging","radiographs_xray","diagnostic_event","performed|recommended|declined|not_reported","","Radiographs or X-ray.","sample report chest rads; sample report x-rays; sample report rads option","Store body_site and impression."
"ultrasound","diagnostic_events","imaging","ultrasound","diagnostic_event","performed|recommended|declined|not_reported","","Ultrasound.","sample report abdominal ultrasound; sample report ultrasound-guided aspirate discussion","Store findings."
"ct","diagnostic_events","imaging","ct","diagnostic_event","performed|recommended|declined|not_reported","","CT.","sample report spine/head CT; sample report CT discussion","Store body_site."
"rhinoscopy","diagnostic_events","endoscopy_imaging","rhinoscopy","diagnostic_event","performed|recommended|declined|not_reported","","Rhinoscopy.","sample report chronic rhinitis diagnosed via CT/rhinoscopy",""
"endoscopy_biopsy","diagnostic_events","endoscopy_pathology","endoscopy_biopsy","diagnostic_event","performed|recommended|declined|not_reported","","Endoscopy and biopsy.","sample report stomach/duodenal biopsy",""
"echocardiogram","diagnostic_events","cardiology_imaging","echocardiogram","diagnostic_event","performed|normal|abnormal|not_reported","","Echocardiogram.","sample report echo within normal limits",""
"fna_cytology","diagnostic_events","pathology","fna_cytology","diagnostic_event","performed|recommended|declined|not_reported","","Fine needle aspirate/cytology.","sample report FNA bloody; MCT cytology; sample report lung aspirate discussion","Store site and interpretation."
"histopathology","diagnostic_events","pathology","histopathology","diagnostic_event","performed|recommended|declined|not_reported","","Histopathology.","sample report panniculitis; sample report hemangioma; skin tumors","Store diagnosis and margins."
"cancer_screen_nuq","diagnostic_events","oncology_test","cancer_screen_nuq","diagnostic_event","positive|negative|equivocal|pending|not_reported","","Nu.Q cancer screen.","sample report NuQ pending/equivocal",""
"coagulation_profile","diagnostic_events","coagulation","coagulation_profile","diagnostic_event","performed|normal|abnormal|not_reported","","Coagulation profile.","sample report coag profile; sample report pre-op coags","Use lab_results for PT/PTT."
"current_medication","medication_events","medication_context","current_medication","event","present|historical|discontinued|not_reported","","Medication currently or historically taken.","Current meds lists in sample reports; sample report","Context only unless source links to condition."
"antibiotic","medication_events","medication_context","antibiotic","event","present|historical|discontinued|not_reported","","Antibiotic exposure.","cephalexin; doxycycline; clavamox; metronidazole; TMS; Baytril","Medication class context."
"antifungal","medication_events","medication_context","antifungal","event","present|historical|discontinued|not_reported","","Antifungal exposure.","fluconazole; terbinafine; ketoconazole","Medication class context."
"steroid","medication_events","medication_context","steroid","event","present|historical|discontinued|not_reported","","Steroid exposure.","prednisone; prednisolone","May influence PU/PD and labs; do not infer diagnosis alone."
"nsaid","medication_events","medication_context","nsaid","event","present|historical|discontinued|not_reported","","NSAID exposure.","carprofen; Novox","Medication class context."
"analgesic_neuropathic_pain_med","medication_events","medication_context","analgesic_neuropathic_pain_med","event","present|historical|discontinued|not_reported","","Pain or neuropathic pain medication.","gabapentin; pregabalin; codeine; buprenex","Context for pain conditions."
"antiemetic_appetite_gi_med","medication_events","medication_context","antiemetic_appetite_gi_med","event","present|historical|discontinued|not_reported","","GI/appetite/antiemetic medication.","Cerenia; Entyce; mirtazapine; omeprazole; Proviable","Medication class context."
"chemotherapy_oncology_med","medication_events","medication_context","chemotherapy_oncology_med","event","present|historical|discontinued|not_reported","","Chemotherapy or oncology medication.","Palladia; satraplatin","Oncology context."
"allergy_dermatology_med","medication_events","medication_context","allergy_dermatology_med","event","present|historical|discontinued|not_reported","","Allergy/dermatology medication.","Apoquel; Cytopoint; topical sprays; ear drops; shampoos","Context for dermatitis."
"parasite_preventive","medication_events","preventive_context","parasite_preventive","event","present|historical|discontinued|not_reported","","Heartworm/flea/tick preventive.","Sentinel; Heartgard; Bravecto; NexGard; Simparica Trio","Preventive medication."
"supplement","medication_events","medication_context","supplement","event","present|historical|discontinued|not_reported","","Supplements and nutraceuticals.","Denamarin; yunnan baiyao; D-mannose; Fortiflora; hepato support","Context only."
"neuter_castration","procedure_events","procedure","neuter_castration","event","performed|recommended|declined|historical|not_reported","","Neuter/castration.","sample report neuter; sample report neuter","Procedure context."
"spay","procedure_events","procedure","spay","event","performed|recommended|declined|historical|not_reported","","Spay procedure.","Spay status in FS dogs","Procedure if surgical event available."
"dental_cleaning_or_extraction","procedure_events","procedure","dental_cleaning_or_extraction","event","performed|recommended|declined|historical|not_reported","","Dental procedure, extraction, or dental radiographs.","sample report dental surgery; sample report dental retained tooth extraction; sample report dental cleaning","Procedure context."
"mass_removal","procedure_events","procedure","mass_removal","event","performed|recommended|declined|historical|not_reported","","Mass/tumor/skin lesion removal.","sample report tumor removal; sample report mass removals; sample report MCT excision","Link to pathology."
"anal_gland_surgery","procedure_events","procedure","anal_gland_surgery","event","performed|recommended|declined|historical|not_reported","","Anal gland/perianal surgery.","sample report anal gland surgery","Procedure context."
"gastropexy","procedure_events","procedure","gastropexy","event","performed|recommended|declined|historical|not_reported","","Gastropexy.","sample report laparoscopic gastropexy","Procedure context."
"spinal_surgery","procedure_events","procedure","spinal_surgery","event","performed|recommended|declined|historical|not_reported","","Spinal/lumbosacral surgery or implant removal.","sample report dorsal laminectomy; stabilization; implants","Procedure context."
"bandage_change","procedure_events","procedure","bandage_change","event","performed|recommended|declined|historical|not_reported","","Bandage change/application.","sample report bandage application; sample report bandage changes","Procedure context."
"wound_cleaning_debridement","procedure_events","procedure","wound_cleaning_debridement","event","performed|recommended|declined|historical|not_reported","","Wound cleaning, clipping, hydrotherapy, debridement.","sample report snake wound cleaning; sample report clip and clean wound","Procedure context."
"subcutaneous_fluids","procedure_events","procedure","subcutaneous_fluids","event","performed|recommended|declined|historical|not_reported","","Subcutaneous fluids.","sample report SQ fluids recommended","Procedure context."
"vaccination_administered","procedure_events","preventive_procedure","vaccination_administered","event","performed|recommended|declined|historical|not_reported","","Vaccines administered.","Rabies; DHPP; Bordetella; Lepto; puppy vaccines","Can become vaccine_events later."
"rehabilitation_physical_therapy","procedure_events","rehab","rehabilitation_physical_therapy","event","performed|recommended|declined|historical|not_reported","","Rehab/PT sessions.","sample report rehab package, gait improvements","Use rehab metrics if available."
"acupuncture","procedure_events","rehab","acupuncture","event","performed|recommended|declined|historical|not_reported","","Acupuncture.","sample report acupuncture visits","Procedure context."
"dog_id","phenotype_events","common_event_columns","dog_id","string","","","Stable dog id.","All event tables","Also include in lab/diagnostic/med/procedure tables."
"event_id","phenotype_events","common_event_columns","event_id","string","","","Stable event id.","All event tables","Generated by pipeline."
"status","phenotype_events","common_event_columns","status","enum","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Assertion status.","Assessments, rule-outs, resolved histories, negative exams","Critical for not mixing suspected with confirmed."
"value_raw","phenotype_events","common_event_columns","value_raw","string","","","Source value or phrase.","Raw diagnosis/sign/lab phrase","Do not discard."
"value_normalized","phenotype_events","common_event_columns","value_normalized","string","","","Normalized value.","Normalized phenotype or numeric value","Retain raw separately."
"body_site","phenotype_events","common_event_columns","body_site","string","","","Anatomic site.","left nostril; right pelvic limb; ventral abdomen; anal gland","Required when stated."
"laterality","phenotype_events","common_event_columns","laterality","enum","left|right|bilateral|midline|not_applicable|not_reported|unknown","","Laterality.","AS/AD/AU; left; right; bilateral","Normalize veterinary abbreviations."
"severity","phenotype_events","common_event_columns","severity","string","","","Severity, grade, or descriptor.","mild; severe; 2/4; 3 cm x 2 cm; watery","Retain source scale."
"duration","phenotype_events","common_event_columns","duration","string","","","Duration as written.","2 weeks; since Sat; chronic; last week","Do not over-convert."
"onset_date","phenotype_events","common_event_columns","onset_date","date","YYYY-MM-DD","","Onset date if stated or safely derivable.","Rattlesnake 9/26/14; cough for 6 weeks","Leave blank if uncertain."
"resolved_date","phenotype_events","common_event_columns","resolved_date","date","YYYY-MM-DD","","Resolution date if stated.","snake wound healed; improved cough","Leave blank if uncertain."
"temporality","phenotype_events","common_event_columns","temporality","enum","current|historical|future_recheck|not_reported|unknown","","Current vs historical context.","past history pulmonary carcinoma; historical MCT; current cough","Important for dog-level summaries."
"negation","phenotype_events","common_event_columns","negation","boolean","yes|no|unknown|not_reported","","Explicit negation present.","no vomiting; no lameness; no murmur","Do not infer negation from silence."
"source_sentence","phenotype_events","common_event_columns","source_sentence","string","","","Short evidence sentence.","Every non-empty extraction","Keep short enough for audit."
"page_number","phenotype_events","common_event_columns","page_number","integer","","","PDF page number.","All PDFs with page markers/OCR pages","Required where possible."
"confidence","phenotype_events","common_event_columns","confidence","number","0-1","","Extractor confidence.","All extraction outputs","Use low threshold to trigger review."
"needs_review","phenotype_events","common_event_columns","needs_review","boolean","yes|no|unknown|not_reported","","Flag ambiguous, low-confidence, or new phenotype.","New candidate phenotypes; OCR uncertainty","Human review queue."
"ectropion","phenotype_events","diagnosis_problem","ectropion","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Eyelid conformation abnormality with outward eyelid rolling.","sample scanned report active concerns","Ophthalmology phenotype."
"conjunctivitis","phenotype_events","diagnosis_problem","conjunctivitis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Conjunctivitis.","sample scanned report resolved concerns","Ophthalmology phenotype."
"eyelid_laceration","phenotype_events","diagnosis_problem","eyelid_laceration","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Eyelid laceration.","sample scanned report resolved concerns","Trauma/ophthalmology; use body_site eye/eyelid."
"separation_anxiety","phenotype_events","diagnosis_problem","separation_anxiety","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Separation anxiety or suspected separation anxiety.","sample scanned report active concern suspect separation anxiety","Behavior phenotype."
"mouthy_behavior","phenotype_events","behavior","mouthy_behavior","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Mouthy behavior noted as a concern.","sample scanned report inactive concern","Behavior phenotype."
"adverse_drug_reaction","phenotype_events","diagnosis_problem","adverse_drug_reaction","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Adverse reaction to a medication or drug.","sample scanned report alert No APOQUEL - Diarrhea","Capture medication name and reaction in value_raw."
"roundworm_infection","phenotype_events","diagnosis_problem","roundworm_infection","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Roundworm infection.","sample scanned report resolved concern roundworm infection","Parasite phenotype; keep separate from ringworm."
"canine_infectious_respiratory_disease_complex","phenotype_events","diagnosis_problem","canine_infectious_respiratory_disease_complex","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Canine infectious respiratory disease complex or kennel-cough-complex illness.","sample scanned report resolved CIRD complex","Respiratory/infectious phenotype."
"upper_respiratory_infection","phenotype_events","diagnosis_problem","upper_respiratory_infection","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Upper respiratory infection.","sample scanned report resolved upper respiratory infection","Respiratory/infectious phenotype."
"mycoplasma_cynos","phenotype_events","diagnosis_problem","mycoplasma_cynos","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Mycoplasma cynos infection or positive result.","sample scanned report resolved Mycoplasma Cynos","Respiratory/infectious phenotype."
"histiocytoma","phenotype_events","diagnosis_problem","histiocytoma","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Histiocytoma.","sample scanned report dermal lesion right lateral hock - histiocytoma","Oncology/dermatology; usually benign."
"jaw_tremor","phenotype_events","clinical_sign","jaw_tremor","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Jaw tremor.","sample scanned report resolved concern jaw tremor","Neurology/oral sign."
"anal_sacculitis","phenotype_events","diagnosis_problem","anal_sacculitis","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Anal sacculitis.","sample scanned report active concern anal sacculitis","Anal-gland disease subtype."
"multifocal_follicular_alopecia","phenotype_events","diagnosis_problem","multifocal_follicular_alopecia","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Multifocal follicular alopecia.","sample scanned report resolved concern multifocal follicular alopecia","Dermatology subtype; also add alopecia clinical sign."
"excoriations","phenotype_events","clinical_sign","excoriations","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Excoriations or self-trauma marks.","sample scanned report excoriations along neck","Dermatology sign."
"bloody_gingiva","phenotype_events","clinical_sign","bloody_gingiva","event","present|absent|suspected|rule_out|historical|resolved|normal|abnormal|not_reported","","Bloody gingiva or gum bleeding.","sample scanned report resolved concern bloody gingiva","Dental/hematology sign."
